物件タイプ,投げ先候補,紹介日,業者名,物件住所,元担当,連絡先,状況(最新)
戸建,②ツクビト再販,7/10/2023,（有）ライトハウスコンサルティング,久喜市本町4丁目12-10,込山,0480-23-2386,アリングします。 物件情報は一先ずメールで来ております。ヒアリングしました→売主目線決まってません。査定込みで進めて欲しいとの事です。 売却理由は3月、4月頃まで貸してたが退去したので売却。賃料は業者知りませんでした。 内見は業者に鍵ありです。雨漏りなど聞きましたが無さそうです。
戸建,①自分で再アプローチ / ②ツクビト再販 / ⑤投資家,6/23/2023,(有）サンホーム,八王子市犬目町227-15,佐藤,042-579-5433,０００万円。AI査定上で６４０万円。リフォーム費用と賃貸相場から計算すると４００万円台の仕入れが必須、上記のことを踏まえてⅢホーム荷田様に査定しました。当然まだお話は持っていけないですが、弱り待ちで共通認識。お話じっくりできまして、また物件など出ましたら情報くださるとのことです。
戸建,①自分で再アプローチ / ②ツクビト再販,5/18/2023,アースハウジング,吉川市大字上内川859-1,込山,048-998-0707,2023/05/18　古内さんと電話、藤井さんが事前に金額を伝えていたのでAI机上査定書と100万以下での買い取り金額になる旨を連絡、預かったばかりなので今後の反響を見ながら徐々に下げる予定だそうです。6戸のボロアパート案件あるそうです。
戸建,②ツクビト再販 / ⑤投資家,5/27/2023,株式会社朝日地所,坂戸市西坂戸4丁目19-6,佐藤,,あり。空き家も多いが高齢世帯の長く住んでいる人も多い。2世が建て替えしてる場所の様子。本物件は築年数が49年であり、雨染みなどあるが、大事リフォームされてに使われていたため建物は生かせる。賃貸で検討。リフォーム費用なども差っ引いて120万で査定。朝日地所社長からは塩対応、ぐぬぬ。
戸建,②ツクビト再販,7/4/2023,ファミリーハウジング　芳賀さん,埼玉県北葛飾郡杉戸町鷲巣710-27,江藤,0480-38-1243,74歳のおじいちゃんで陽気。 7月15日頃に進捗確認予定。 7/4に芳賀社長にご挨拶。先方は200万円くらい？と言っていたが、業務委託費20万円を支払う話しをすると、40～50万円の指し値でも許してもらえた。築56年物の戸建てで調整区域。駐車場はあり。売主にあててくれるとのこと。
戸建,②ツクビト再販,6/3/2023,MEプラス埼京,埼玉県春日部市備後東3-10-16,込山,048-710-9920,2023/6/3　前に250万で買い付け入ったが断っている。売主は最低でも手元500万希望、山口さん的には価格は200万前後だと思っている。雨漏りもあるとのことでリフォーム費用を鑑みると弊社では150万前後になってしまうのでと山口さんにもご理解して頂き見送り
戸建,②ツクビト再販,5/27/2023,ＬＩＸＩＬ不動産ショップ　ＭＫ不動産(株,富士見市羽沢３丁目,森田,048-475-8328,2023/5/29　目線合わず見送りとするが、マッチしそうな案件は出てくるということで挨拶に伺う予定。 2023/5/27 富士見市の戸建て、エンド850～900万円で見て、売値目線700万円というところでしょうか。来週一般か専任で契約する。鍵はすでに預かっているとのこと。
戸建,②ツクビト再販,4/17/2023,コダマホーム,春日部市,込山,090-5828-0332,マホームさんで売却予定住居をリフォームした既存取引のあるお客様、まだ専任契約前、GWまに役所調査なども行い販売用の資料作るのでそれから改めてご連絡いただけるとのことです。値段はあまり安くはならなそうです 2023/05/25　電話するも資料まだ出来ていないので待ってほしいとのこと
戸建,②ツクビト再販 / ⑤投資家,4/24/2023,昭和ホーム,春日部市南3-17-23,込山,090-4546-6552,2023/4/23　築古、広さから賃貸で貸し出しても周辺相場より5万前後しか取れなそうなので利回りから見ると再販価格MAX400万（表面15%）、雨漏れ、床抜けありとのことでリフォーム費用を考えると合わないので見送り
戸建,②ツクビト再販,6/16/2023,(株)西源,葛飾区鎌倉３-13-16,江藤,090-2546-3733,住中のため退去してからになる。間取りや室内の様子の資料は現在なし。 一応、机上査定しながらこちら側でもどのような出口にするか（民泊へ転用、民泊運営会社へ転売など） 検討しながら話つめていければと伝えました。 時間の掛かる案件なので長い目で今年中に売却できればと業者は言ってました。
戸建,②ツクビト再販,6/23/2023,（株）カシマ企画,青梅市長淵４,佐藤,0428-20-5175,、売主亡くなられ弟さんが相続、売主の息子さんが大工で資材置き場として長年使用している。 目線は未だ何も決まってない、200万？！300万！？と聞くがもう少し高いんじゃないかな～と。リフォームは確実に必要。雨漏りなどは無し。 メールで会社概要送り、来週中ごろ追客、資料取得予定。 。
